symbol,exchange,shares_outstanding,public_float,short_interest_date,shares_sold_short,change_from_last,percent_of_float
ACN,NYSE,661140000.0,659330000.0,12/31/20,4360000.0,3.19,0.66
ACNB,NASDAQ,8700000.0,8350000.0,12/31/20,71873.0,-9.08,0.86
ACND,NYSE,41400000.0,,12/31/20,135162.0,19.54,
ACOR,NASDAQ,9480000.0,9320000.0,12/31/20,2500000.0,-4.27,26.85
ACP,NYSE,17430000.0,,12/31/20,38607.0,9.96,
ACRE,NYSE,33439999.0,30260000.0,12/31/20,981612.0,98.16,3.24
ACRS,NASDAQ,42920000.0,31130000.0,12/31/20,688191.0,42.2,2.21
ACRX,NASDAQ,98810000.0,96280000.0,12/31/20,7800000.0,0.59,8.1
ACSG,ARCA,,,12/31/20,322.0,-30.0,
ACST,NASDAQ,96890000.0,96370000.0,12/31/20,300968.0,-40.61,0.31
ACTC,NASDAQ,27750000.0,,12/31/20,353559.0,1668.77,
ACTCU,NASDAQ,27750000.0,,12/31/20,10847.0,17.19,
ACTG,NASDAQ,48710000.0,47510000.0,12/31/20,940695.0,-3.2,1.98
ACTV,ARCA,1650000.0,,12/15/20,621.0,-91.94,
ACU,AMEX,3340000.0,2900000.0,12/31/20,7995.0,709.21,0.28
ACV,NYSE,10350000.0,,12/31/20,22144.0,-7.39,
ACVF,ARCA,104000.0,,12/31/20,9585.0,69.62,
ACWF,ARCA,2650000.0,,12/31/20,1626.0,-48.85,
ACWI,NASDAQ,158200000.0,,12/31/20,14720000.0,4.97,
ACWX,NASDAQ,70400000.0,,12/31/20,1080000.0,38.84,
ACY,AMEX,,1200000.0,12/31/20,148720.0,2814.94,12.43
ADAP,NASDAQ,154660000.0,136080000.0,12/31/20,3700000.0,31.03,2.72
ADBE,NASDAQ,478700000.0,,12/31/20,4510000.0,-8.17,
ADC,NYSE,63020000.0,61580000.0,12/31/20,3300000.0,-52.54,5.35
ADCT,NYSE,76720000.0,38980000.0,12/31/20,3030000.0,10.22,7.78
ADERU,NASDAQ,24000000.0,,,,,
ADES,NASDAQ,18550000.0,16149999.0,12/31/20,797576.0,-6.53,4.94
ADI,NASDAQ,369480000.0,368320000.0,12/31/20,28260000.0,0.5,7.67
ADIL,NASDAQ,14390000.0,11820000.0,12/31/20,318269.0,-5.68,2.69
ADM,NYSE,556390000.0,553680000.0,12/31/20,5160000.0,10.09,0.93
ADMA,NASDAQ,86350000.0,92180000.0,12/31/20,11590000.0,-3.21,12.57
ADMP,NASDAQ,91050000.0,92060000.0,12/31/20,1650000.0,-31.8,1.79
ADMS,NASDAQ,28520000.0,22930000.0,12/31/20,1250000.0,-23.49,5.45
ADNT,NYSE,93890000.0,92730000.0,12/31/20,3390000.0,-12.02,3.66
ADOC,NASDAQ,9480000.0,,12/31/20,1958.0,4.09,
ADOCR,NASDAQ,,,12/31/20,2086.0,-44.64,
ADP,NASDAQ,428810000.0,426510000.0,12/31/20,4490000.0,13.38,1.05
ADPT,NASDAQ,136770000.0,131320000.0,12/31/20,4600000.0,7.25,3.51
ADRE,NASDAQ,3400000.0,,12/31/20,23655.0,-65.04,
ADS,NYSE,47720000.0,46200000.0,12/31/20,2720000.0,-13.68,5.89
ADSK,NASDAQ,219890000.0,219090000.0,12/31/20,2100000.0,-14.14,0.96
